review_id,ulasan,rating,tanggal,produk,varian
SHP104856249093,"Kenyamanan:robek
Bahan:maaf TPI barang nya robek tdk sesuai
Desain:robek

Lain kali mbak , sebelum peking barang diliat dulu apakah barang yang mau di kirim itu udah sesuai apa gmna ini barang nya robek looo ,tapi nggak papa ini sebagai peringatan aja lain kali jngn kek gini lagi ke kostumer lainx yaa👍🏻",1,2026-07-16,Produk-1481,"mahogany,S"
SHP104846627383,"Yang Mahogany terlalu kecil bukan UK L itu.. aku beli kemaren warna hitam sama maron UK L pas bnget suka, makanya cek out lagi, yg ini pesen warna coksu dan Mahogany, Tpi yg dtang kecil semua 🥹🥹 kecewa bnget si aku huhuhu😭😭😭",3,2026-07-16,Produk-1481,"mahogany,L"
SHP104917855270,"Pesan UK L malah kecil bgt . Buat di anak Usia 7 tahun . Nyesel belinya , barangnya mahal . Tidak sesuai di foto""",1,2026-07-17,Produk-1481,"Hitam,L"
SHP104937773020,"pesen warna putih di kirim warna hitam, fyi yg di vid itu bukan bajunya soalnya lagi di laundry. tapi jujur yg di kirim warna hitam padahal pesan warna putih, di desk paketnya juga tertera warna putih , tapi yang di kirim warna hitam. mengubah warna tanpa ada pemberitahuan terlebih dahulu.",1,2026-07-17,Produk-1481,"Putih,L"
SHP104921825927,"packing lama, yg dikirim jg salah, seller no respon bad bgt",1,2026-07-17,Produk-1481,"Putih,L"
SHP104951914647,"Kenyamanan:pres
Bahan:dingin
Desain:rapi",3,2026-07-18,Produk-1481,"Putih,S"
SHP104976158270,"Kenyamanan:nyaman
Bahan:bagus
Desain:bagus

padahal bagus bahannya tp dpet barang zonk",1,2026-07-19,Produk-1481,"mahogany,S"
SHP105019965254,Kenyamanan:gak nyaman karena ada bekas rokok,1,2026-07-22,Produk-1481,"Putih,M"
SHP105062539219,"Kenyamanan:bagus nyamanan ajaa

barang nya belum aku liat jelas cumaa dari plastik nya udah robek pas baru dateng",2,2026-07-24,Produk-1481,"mahogany,XL"
SHP105065412852,lain kali lebih teliti lagi ya☺️,2,2026-07-24,Produk-1481,"Hitam,S"
SHP105077455202,"Kenyamanan:cocok untuk dirumah
Bahan:Adem
Desain:menarik cm tembus pandang 😁",1,2026-07-25,Produk-1481,"Putih,L"
SHP105094537334,Sudah brpa kali di krim ga sesuai ukurn yg di pesan,2,2026-07-26,Produk-1481,"Hitam,XL"
SHP105552531687,Tidak sesuai pesanan yang di pesan 2 yang datang satu,3,2026-07-29,Produk-1481,"maroon,L"
SHP105682119824,"jahitan belum selesai di kirim!! HADEHHHHHH!!! lain kali kalo jualan yang amanah,  barang reject dikirim! iya si ada harga ada kualitas tapi eman juga beli dngn harga 40rb an tapi barangnya kayak gini!!!!",2,2026-07-30,Produk-1481,"Abu-abu,S"
SHP106145610428,"Kenyamanan:nyaman
Tekstur:pas
Desain:oke

ada bagian yg koyak dan itu agak besar padahal mau di pakek hari ini",3,2026-08-02,Produk-1481,"Abu-abu,S"
SHP106211891631,"Kenyamanan:kurang

beli baju baru dikasih baju bolong,mana ga cuma 1 lagi bolongnya",1,2026-08-03,Produk-1481,"maroon,S"
SHP106400059858,"Kenyamanan:td tau
Tekstur:licin
Desain:b aj

Terawang bgt minta hitam dkirim putih! Tokony g amanah",1,2026-08-04,Produk-1481,"Hitam,XL"
SHP106395526726,Desain:mesan nya mahogany malah yg dikirim warna lain,2,2026-08-04,Produk-1481,"mahogany,L"
SHP106356975439,Kecewa baju nya bolong,2,2026-08-04,Produk-1481,"mahogany,L"
SHP106709811654,pesan warna pink yang dateng malah warna coklat,1,2026-08-06,Produk-1481,"Dusty Pink,S"
SHP106958175480,"Kenyamanan:lembut cuma mines bukan warna yg aku mau
Tekstur:bahannya kaos ga gerah juga enak ko tp -bukan warna yang aku mau

Ini tokohnya ga merhatiin kah pembelinya warna apa?,dikira kita ga beli pakai uang?,kan kita bayar kocak minimal ada tanggung jawabnya lah",3,2026-08-08,Produk-1481,"Dusty Pink,S"
SHP107012810938,"Kenyamanan:enak
Tekstur:meral
Desain:ok

Jujur warna ny ga sesuai ekspetasi ak, ini warna nya aga ke ungu' an gtu bukan pink muda..",3,2026-08-09,Produk-1481,"Dusty Pink,M"
